run_idx,start_idx,end_idx,skip_range,search_skip_layers,total_skip_layers,l2_mean,l2_max,l2_std,value_diff_mean,value_diff_max,bin_idx_dist_mean,bin_idx_dist_max,bin_idx_dist_std,anomalies,has_nan,has_inf,has_extremes,always_exclude_layers,always_include_layers
1,29,30,29-30,2,2,0.003065637257845023,0.012941176792621967,0.004539403219256193,0.00045903362480752025,0.012941176792621967,0.30357142857142855,10.0,1.4750259423522845,False,False,False,False,,
2,28,29,28-29,2,2,0.0038645539813794436,0.016681137379151396,0.006402449939357517,0.0006775460310329194,0.01568627450980392,0.3392857142857143,10.0,1.5151235889510528,False,False,False,False,,
3,30,30,30-30,1,1,0.004354013297234593,0.020596811905992597,0.007430662854824507,0.000750999789031726,0.019799684957737096,0.39285714285714285,10.0,1.554699918548494,False,False,False,False,,
4,17,17,17-17,1,1,0.005139117217536273,0.012941176792621967,0.004907767570260693,0.0009568158702108863,0.012941176792621967,0.5,10.0,1.5698043554168508,False,False,False,False,,
5,27,27,27-27,1,1,0.00518243894911961,0.02067519754543298,0.007429596764200852,0.0008746242331509757,0.019799684957737096,0.375,10.0,1.482788155565627,False,False,False,False,,
6,28,28,28-28,1,1,0.005781258838977254,0.03201477623993388,0.010762847351727436,0.0012960928284805513,0.023529411764705854,0.5357142857142857,10.0,1.7924871559042295,False,False,False,False,,
7,17,18,17-18,2,2,0.006030508046420706,0.027707191310210343,0.009366969163627217,0.001340810715460578,0.019799684957737096,0.44642857142857145,10.0,1.4750259423522845,False,False,False,False,,
8,27,29,27-29,3,3,0.006191957631590105,0.02462108767429462,0.008766868268122069,0.0013046468709144567,0.023529411764705854,0.5178571428571429,9.0,1.48794046814202,False,False,False,False,,
9,26,28,26-28,3,3,0.006569715994101491,0.037899646528693244,0.012557446393207392,0.0018048882274337163,0.023529411764705854,0.625,10.0,1.8083388193904055,False,False,False,False,,
10,3,3,3-3,1,1,0.006871843035243417,0.02515786901284356,0.008409195715539055,0.0013081063852751272,0.023529411764705854,0.5535714285714286,10.0,1.7720009156030252,False,False,False,False,,
11,26,27,26-27,2,2,0.007111509165937815,0.03405804002990846,0.011295487242406659,0.0018155174726377282,0.023529411764705854,0.5178571428571429,10.0,1.5810379889328972,False,False,False,False,,
